hotspot_cluster,collision_count,center_lat,center_lon,fatal_count,serious_count,slight_count,avg_casualties,total_casualties,avg_speed_limit,pct_dark,pct_wet,pct_rural,avg_danger_score,lat_spread,lon_spread,fatality_rate,serious_rate,risk_score,risk_rank,risk_tier
513,5,53.169504,-2.9775300000000002,0,4,1,1.4,7,32.0,0.4,0.8,1.0,2.6,0.004719999999998947,0.007690000000000197,0.0,0.8,29.2,27,Critical
2186,5,51.26761799999999,-0.171338,1,1,3,1.8,9,66.0,0.4,0.6,1.0,3.4,0.000920000000000698,0.0026400000000000035,0.2,0.4,28.8,28,Critical
2109,5,52.32884,0.920242,1,1,3,1.4,7,52.0,0.6,0.8,1.0,3.4,0.0008800000000022123,0.010050000000000003,0.2,0.4,28.8,29,Critical
2080,5,52.621219999999994,-1.728676,0,4,1,1.6,8,48.0,0.2,0.6,0.4,2.2,0.0022599999999997067,0.003710000000000102,0.0,0.8,28.4,30,Critical
623,5,53.638552000000004,-0.44555,1,1,3,1.8,9,62.0,0.6,0.4,1.0,3.0,0.004729999999995016,0.00386000000000003,0.2,0.4,28.0,31,Critical
772,5,53.448324,-2.664054,1,1,3,1.0,5,32.0,0.6,0.8,1.0,3.0,0.005079999999999529,0.009689999999999976,0.2,0.4,28.0,32,Critical
1385,5,52.27184200000001,-0.010289999999999999,1,1,3,1.2,6,66.0,0.4,0.4,1.0,3.0,0.004359999999998365,0.00737,0.2,0.4,28.0,33,Critical
1501,5,51.97729400000001,0.20678199999999997,1,1,3,1.4,7,62.0,0.2,0.4,1.0,2.8,0.002430000000003929,0.010080000000000006,0.2,0.4,27.6,34,Critical
721,5,53.776988,-3.0539259999999997,0,4,1,2.2,11,30.0,0.6,0.4,0.4,1.8,0.0014599999999944657,0.0009600000000000719,0.0,0.8,27.6,35,Critical
1864,7,53.789951428571435,-2.7487728571428574,1,3,3,1.1428571428571428,8,30.0,0.0,0.7142857142857143,0.14285714285714285,1.4285714285714286,0.0024199999999936495,0.007349999999999746,0.14285714285714285,0.5714285714285714,27.15,36,Critical
1827,5,51.427692,0.21536399999999997,1,1,3,1.4,7,70.0,0.6,0.2,0.6,2.4,0.0018699999999967076,0.008930000000000021,0.2,0.4,26.8,37,Critical
2071,5,52.838195999999996,-1.610902,1,1,3,2.0,10,58.0,0.4,0.2,1.0,2.4,0.0025300000000001432,0.006020000000000136,0.2,0.4,26.8,38,Critical
556,6,52.356815000000005,-0.668355,0,4,2,1.3333333333333333,8,60.0,0.3333333333333333,0.6666666666666666,1.0,3.3333333333333335,0.0002599999999972624,0.00012999999999996348,0.0,0.6666666666666666,26.67,39,Critical
1494,8,51.5828625,0.560545,1,3,4,1.375,11,70.0,0.125,0.25,1.0,2.625,0.003520000000001744,0.006410000000000027,0.125,0.5,26.5,40,Critical
1758,9,51.40729888888889,0.39305999999999996,1,4,4,1.1111111111111112,10,56.666666666666664,0.1111111111111111,0.4444444444444444,0.7777777777777778,2.111111111111111,0.009850000000000136,0.01926,0.1111111111111111,0.5555555555555556,26.45,41,Critical
1812,5,51.277058,0.113608,0,4,1,1.0,5,30.0,0.2,0.0,1.0,1.2,0.0014299999999991542,0.009139999999999995,0.0,0.8,26.4,42,Critical
1790,5,51.239332000000005,0.710942,1,1,3,1.4,7,42.0,0.6,0.4,1.0,2.2,0.00426999999999822,0.009939999999999949,0.2,0.4,26.4,43,Critical
2303,6,52.334039999999995,-1.8688633333333335,0,4,2,1.5,9,56.666666666666664,0.5,0.5,1.0,3.1666666666666665,0.006889999999998508,0.008979999999999988,0.0,0.6666666666666666,26.34,44,Critical
1877,6,53.73193166666667,-2.7599366666666665,1,2,3,1.0,6,43.333333333333336,0.3333333333333333,0.3333333333333333,0.5,1.5,0.008639999999999759,0.005850000000000133,0.16666666666666666,0.5,26.34,45,Critical
683,5,54.513084000000006,-1.53728,0,4,1,1.8,9,30.0,0.6,0.4,0.0,1.0,0.0031799999999932993,0.006999999999999895,0.0,0.8,26.0,46,Critical
932,5,50.408566,-4.350154,1,1,3,2.0,10,48.0,0.2,0.4,1.0,2.0,0.0025999999999939405,0.010139999999999816,0.2,0.4,26.0,47,Critical
574,8,54.66137875,-1.6768575000000001,1,4,3,1.375,11,30.0,0.25,0.125,0.0,0.375,0.005690000000001305,0.0048399999999999554,0.125,0.625,25.75,48,Critical
1652,7,51.20914571428572,-1.5157657142857144,0,5,2,1.0,7,55.714285714285715,0.2857142857142857,0.2857142857142857,0.8571428571428571,2.142857142857143,0.008470000000002642,0.009820000000000162,0.0,0.7142857142857143,25.72,49,Critical
1901,6,53.747875,-2.220238333333333,0,4,2,1.5,9,56.666666666666664,0.3333333333333333,0.5,1.0,2.8333333333333335,0.006539999999993995,0.009030000000000094,0.0,0.6666666666666666,25.67,50,Critical
1909,5,52.833048,-1.299598,1,1,3,2.2,11,60.0,0.2,0.0,1.0,1.8,0.001870000000003813,0.0015300000000000313,0.2,0.4,25.6,51,Critical
95,5,55.573068,-3.8143979999999997,0,3,2,1.2,6,64.0,0.8,0.6,1.0,3.8,0.0016999999999995907,0.006290000000000351,0.0,0.6,25.6,52,Critical
920,5,53.21394,-2.6539539999999997,1,1,3,1.4,7,48.0,0.2,0.4,1.0,1.6,0.0035799999999994725,0.008830000000000116,0.2,0.4,25.2,53,Critical
1828,5,51.421876,0.77735,0,4,1,1.4,7,30.0,0.6,0.0,0.0,0.6,0.0007800000000059981,0.009959999999999969,0.0,0.8,25.2,54,Critical
791,5,52.763814,-2.377404,0,4,1,1.4,7,30.0,0.2,0.4,0.0,0.6,0.004480000000000928,0.008469999999999978,0.0,0.8,25.2,55,Critical
2329,6,55.86998166666667,-4.176656666666667,0,4,2,1.3333333333333333,8,43.333333333333336,0.6666666666666666,0.8333333333333334,0.0,2.5,0.005520000000004188,0.008219999999999672,0.0,0.6666666666666666,25.0,56,Critical
687,6,55.77318333333333,-4.037545000000001,1,2,3,1.1666666666666667,7,28.333333333333332,0.16666666666666666,0.5,0.0,0.8333333333333334,0.0016000000000033765,0.01100000000000012,0.16666666666666666,0.5,25.0,57,Critical
1238,5,53.671892,-1.775964,0,4,1,1.0,5,36.0,0.2,0.2,0.0,0.4,0.003120000000002676,0.013100000000000112,0.0,0.8,24.8,58,Critical
1149,8,53.4887175,-1.2531275,0,6,2,1.25,10,32.5,0.5,0.375,0.0,1.125,0.006169999999997344,0.010299999999999976,0.0,0.75,24.75,59,Critical
1521,14,51.677796428571426,0.03793428571428571,2,4,8,1.2142857142857142,17,49.285714285714285,0.2857142857142857,0.5,0.9285714285714286,2.2142857142857144,0.004290000000004568,0.02739,0.14285714285714285,0.42857142857142855,24.44,60,Critical
918,5,53.270284000000004,-2.8261279999999998,1,1,3,1.4,7,56.0,0.0,0.4,0.4,1.2,0.004959999999996967,0.0044200000000000905,0.2,0.4,24.4,61,Critical
842,5,53.543724,-2.17905,1,1,3,1.4,7,30.0,0.6,0.4,0.0,1.2,0.00497999999999621,0.0093700000000001,0.2,0.4,24.4,62,Critical
945,6,50.82936833333334,-4.544583333333333,0,4,2,1.1666666666666667,7,30.0,0.16666666666666666,0.5,1.0,2.1666666666666665,0.004889999999996064,0.0024800000000002598,0.0,0.6666666666666666,24.34,63,Critical
2038,6,53.05520666666666,-0.7842349999999999,1,2,3,1.0,6,31.666666666666668,0.5,0.0,0.0,0.5,0.0026599999999987745,0.0018200000000000438,0.16666666666666666,0.5,24.34,64,Critical
483,6,53.376815,-3.08825,1,2,3,1.1666666666666667,7,26.666666666666668,0.16666666666666666,0.16666666666666666,0.0,0.3333333333333333,0.002339999999996678,0.012399999999999967,0.16666666666666666,0.5,24.0,65,Critical
841,4,53.45933,-2.708295,0,3,1,1.25,5,30.0,0.5,0.25,0.0,0.75,0.003710000000005209,0.004389999999999894,0.0,0.75,24.0,66,Critical
777,5,55.828464,-4.205046,1,1,3,1.2,6,28.0,0.4,0.4,0.0,1.0,0.005910000000000082,0.010559999999999903,0.2,0.4,24.0,67,Critical
309,8,52.69683875,-2.4993175,1,3,4,1.5,12,32.5,0.375,0.375,0.375,1.375,0.00677999999999912,0.012480000000000047,0.125,0.5,24.0,68,Critical
1830,6,51.200201666666665,0.39445166666666664,0,4,2,1.3333333333333333,8,56.666666666666664,0.16666666666666666,0.0,1.0,2.0,0.006989999999994723,0.007269999999999999,0.0,0.6666666666666666,24.0,69,Critical
1646,6,51.32370666666666,-0.824595,0,4,2,1.5,9,55.0,0.16666666666666666,0.3333333333333333,1.0,2.0,0.001100000000000989,0.0042400000000000215,0.0,0.6666666666666666,24.0,70,Critical
2316,7,55.83598857142857,-4.168645714285715,1,2,4,1.2857142857142858,9,50.0,0.42857142857142855,0.5714285714285714,0.0,1.8571428571428572,0.003259999999997376,0.01700999999999997,0.14285714285714285,0.42857142857142855,23.72,71,Critical
913,6,53.208216666666665,-2.742435,0,4,2,1.3333333333333333,8,55.0,0.5,0.0,1.0,1.8333333333333333,0.002339999999996678,0.014750000000000263,0.0,0.6666666666666666,23.67,72,Critical
1564,5,51.714486,-2.2884819999999997,0,3,2,1.8,9,60.0,0.4,0.4,1.0,2.8,0.0009399999999999409,0.007369999999999877,0.0,0.6,23.6,73,Critical
2217,5,51.271552,-0.01597,0,3,2,1.0,5,44.0,0.6,0.8,1.0,2.8,0.0052400000000005775,0.005069999999999998,0.0,0.6,23.6,74,Critical
295,9,53.43795444444444,-2.1620955555555557,1,4,4,1.4444444444444444,13,27.77777777777778,0.2222222222222222,0.3333333333333333,0.0,0.6666666666666666,0.008639999999999759,0.013279999999999959,0.1111111111111111,0.5555555555555556,23.56,75,Critical
151,8,55.910782499999996,-3.14067875,0,6,2,1.25,10,28.75,0.25,0.125,0.0,0.5,0.00630999999999915,0.012219999999999676,0.0,0.75,23.5,76,Critical
1040,4,51.802065,-0.822425,0,3,1,1.25,5,30.0,0.25,0.25,0.0,0.5,0.005510000000001014,0.008369999999999989,0.0,0.75,23.5,77,Critical
2302,8,52.29055375,-1.93375125,0,5,3,1.0,8,61.25,0.375,0.25,0.75,2.375,0.004620000000002733,0.012490000000000112,0.0,0.625,23.5,78,Critical
2288,6,50.99198833333333,-0.3408983333333333,0,4,2,1.3333333333333333,8,50.0,0.5,0.0,1.0,1.6666666666666667,0.0016200000000026193,0.0013100000000000334,0.0,0.6666666666666666,23.34,79,Critical
205,5,53.603775999999996,-2.175478,1,1,3,1.0,5,30.0,0.2,0.2,0.0,0.6,0.005110000000001946,0.0048799999999999955,0.2,0.4,23.2,80,Critical
2237,7,52.497078571428574,-1.4742300000000002,1,2,4,1.1428571428571428,8,44.285714285714285,0.5714285714285714,0.0,0.8571428571428571,1.5714285714285714,0.009169999999997458,0.006999999999999895,0.14285714285714285,0.42857142857142855,23.15,81,Critical
787,8,55.94518,-4.56938625,1,3,4,1.0,8,30.0,0.25,0.5,0.0,0.875,0.005000000000002558,0.0188600000000001,0.125,0.5,23.0,82,Critical
2331,4,55.848060000000004,-4.3238775,0,3,1,1.0,4,30.0,0.0,0.25,0.0,0.25,0.002569999999998629,0.008109999999999395,0.0,0.75,23.0,83,Critical
1099,4,50.9462625,-2.6384475,0,3,1,1.0,4,32.5,0.25,0.0,0.0,0.25,0.005760000000002208,0.0025200000000000777,0.0,0.75,23.0,84,Critical
2312,7,55.90077142857143,-4.374332857142857,0,5,2,1.7142857142857142,12,30.0,0.2857142857142857,0.2857142857142857,0.0,0.7142857142857143,0.0065400000000011005,0.008390000000000342,0.0,0.7142857142857143,22.86,85,Critical
1897,5,53.948166,-2.750048,0,3,2,1.4,7,58.0,0.4,0.2,1.0,2.4,0.003200000000006753,0.005780000000000118,0.0,0.6,22.8,86,Critical
728,5,55.098580000000005,-1.6179700000000001,0,3,2,1.2,6,60.0,0.6,0.0,1.0,2.4,0.004750000000001364,0.000520000000000076,0.0,0.6,22.8,87,Critical
860,5,54.108704,-0.45476799999999995,0,3,2,1.4,7,60.0,0.0,0.2,1.0,2.4,0.000240000000005125,0.00032000000000004247,0.0,0.6,22.8,88,Critical
833,5,54.9547,-1.568582,1,1,3,1.2,6,32.0,0.2,0.2,0.0,0.4,0.0022900000000021237,0.012360000000000149,0.2,0.4,22.8,89,Critical
887,6,51.50740666666667,-2.6266483333333333,0,4,2,1.3333333333333333,8,20.0,0.5,0.5,0.0,1.3333333333333333,0.004069999999998686,0.011159999999999837,0.0,0.6666666666666666,22.67,90,Critical
758,6,54.654558333333334,-1.5650933333333334,1,1,4,1.1666666666666667,7,56.666666666666664,0.3333333333333333,0.0,1.0,2.1666666666666665,0.006409999999995364,0.010019999999999918,0.16666666666666666,0.3333333333333333,22.67,91,Critical
800,6,53.56471166666666,-0.6183150000000001,0,4,2,2.1666666666666665,13,33.333333333333336,0.3333333333333333,0.3333333333333333,0.5,1.3333333333333333,0.004479999999993822,0.009190000000000031,0.0,0.6666666666666666,22.67,92,Critical
1077,6,53.780370000000005,-1.29327,1,1,4,1.0,6,60.0,0.16666666666666666,0.0,1.0,2.1666666666666665,0.004419999999996094,0.006709999999999994,0.16666666666666666,0.3333333333333333,22.67,93,Critical
906,10,53.070867,-2.334044,1,3,6,1.4,14,65.0,0.4,0.3,1.0,2.8,0.009679999999995914,0.010229999999999961,0.1,0.4,22.61,94,Critical
1708,10,51.716330000000006,-0.27849599999999997,0,6,4,1.7,17,62.0,0.4,0.2,0.8,2.3,0.00426999999999822,0.009529999999999983,0.0,0.6,22.61,95,Critical
1943,8,53.1295625,-0.48744375,1,2,5,1.375,11,58.75,0.125,0.25,1.0,2.5,0.0003299999999981651,0.00029999999999996696,0.125,0.375,22.5,96,Critical
265,8,56.177245,-3.1444275,1,2,5,1.625,13,55.0,0.75,0.625,0.25,2.5,0.007649999999998158,0.010180000000000078,0.125,0.375,22.5,97,Critical
745,5,55.938318,-3.319614,0,3,2,1.4,7,38.0,0.4,0.8,0.2,2.2,0.00607000000000113,0.011319999999999997,0.0,0.6,22.4,98,Critical
1415,5,52.90696799999999,-1.3822240000000001,1,1,3,2.0,10,30.0,0.0,0.2,0.0,0.2,0.001130000000003406,0.003890000000000171,0.2,0.4,22.4,99,Critical
1881,5,53.830796,-2.397402,0,3,2,2.4,12,56.0,0.4,0.2,1.0,2.2,0.004159999999998831,0.0038599999999999746,0.0,0.6,22.4,100,Critical
894,6,50.834155,-0.10135499999999999,0,4,2,1.1666666666666667,7,35.0,0.0,0.16666666666666666,0.8333333333333334,1.1666666666666667,0.008650000000002933,0.005740000000000009,0.0,0.6666666666666666,22.34,101,Critical
1271,6,53.71472666666667,-1.5362900000000002,1,1,4,1.1666666666666667,7,60.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,2.0,0.005040000000001044,0.011220000000000008,0.16666666666666666,0.3333333333333333,22.34,102,Critical
201,13,51.568593846153846,-3.0132153846153846,1,6,6,1.1538461538461537,15,27.692307692307693,0.38461538461538464,0.3076923076923077,0.3076923076923077,1.1538461538461537,0.009720000000001505,0.012329999999999952,0.07692307692307693,0.5384615384615384,22.31,103,Critical
657,7,53.62142142857142,-2.1773857142857143,1,2,4,1.4285714285714286,10,30.0,0.2857142857142857,0.5714285714285714,0.0,1.1428571428571428,0.0023999999999944066,0.015890000000000182,0.14285714285714285,0.42857142857142855,22.29,104,Critical
1567,5,51.700746,-2.00041,1,0,4,1.4,7,60.0,0.6,0.4,1.0,3.0,0.001959999999996853,0.0007599999999998719,0.2,0.2,22.0,105,Critical
1581,6,51.69629333333333,-1.6917316666666666,0,4,2,1.1666666666666667,7,30.0,0.0,0.0,1.0,1.0,0.004980000000003315,0.00598999999999994,0.0,0.6666666666666666,22.0,106,Critical
432,9,53.54600333333333,-0.5593155555555556,0,5,4,1.1111111111111112,10,62.22222222222222,0.2222222222222222,0.2222222222222222,1.0,2.5555555555555554,0.00787000000000404,0.008360000000000034,0.0,0.5555555555555556,21.78,107,Critical
1160,9,53.34569111111111,-1.3949222222222224,0,6,3,1.3333333333333333,12,30.0,0.3333333333333333,0.3333333333333333,0.1111111111111111,0.8888888888888888,0.008700000000004593,0.012709999999999999,0.0,0.6666666666666666,21.78,108,Critical
183,8,53.71232625,-1.7446975,0,4,4,1.875,15,70.0,0.5,0.5,1.0,3.375,0.01313999999999993,0.0029000000000001247,0.0,0.5,21.75,109,Critical
627,7,52.98419142857143,-2.157917142857143,1,2,4,1.1428571428571428,8,30.0,0.42857142857142855,0.2857142857142857,0.0,0.8571428571428571,0.003720000000001278,0.007429999999999826,0.14285714285714285,0.42857142857142855,21.72,110,Critical
710,6,55.88774333333333,-3.5079666666666665,0,4,2,1.1666666666666667,7,30.0,0.16666666666666666,0.5,0.0,0.8333333333333334,0.004570000000001073,0.016669999999999963,0.0,0.6666666666666666,21.67,111,Critical
434,6,53.53834666666666,-2.0729016666666666,1,1,4,1.0,6,28.333333333333332,1.0,0.5,0.0,1.6666666666666667,0.003520000000001744,0.01120999999999972,0.16666666666666666,0.3333333333333333,21.67,112,Critical
1461,10,50.805323,0.304301,1,4,5,1.3,13,37.0,0.3,0.4,0.0,0.8,0.00800999999999874,0.008950000000000014,0.1,0.5,21.61,113,Critical
744,5,54.945048,-1.470256,0,3,2,1.0,5,46.0,0.4,0.2,0.6,1.8,0.006099999999996442,0.007160000000000055,0.0,0.6,21.6,114,Critical
2004,5,52.537658,1.7221499999999998,0,3,2,2.2,11,54.0,0.0,0.2,1.0,1.8,0.005169999999999675,0.004970000000000141,0.0,0.6,21.6,115,Critical
1924,5,52.758818,-1.275962,0,3,2,1.8,9,54.0,0.0,0.2,1.0,1.8,0.0040300000000002,0.01089999999999991,0.0,0.6,21.6,116,Critical
611,5,54.85738,-2.879424,1,0,4,1.4,7,64.0,0.4,0.4,1.0,2.8,0.0041700000000020054,0.0035000000000002807,0.2,0.2,21.6,117,Critical
2251,8,50.81837375,-0.4727525,0,5,3,1.25,10,46.25,0.125,0.25,0.625,1.375,0.0007799999999988927,0.017189999999999983,0.0,0.625,21.5,118,High
937,7,50.62793571428572,-4.362964285714286,1,1,5,1.7142857142857142,12,54.285714285714285,0.14285714285714285,0.5714285714285714,1.0,2.857142857142857,0.003540000000000987,0.013450000000000628,0.14285714285714285,0.2857142857142857,21.43,119,High
927,7,53.18534285714286,-2.8395071428571432,1,2,4,1.2857142857142858,9,30.0,0.2857142857142857,0.0,0.42857142857142855,0.7142857142857143,0.008359999999996148,0.01150999999999991,0.14285714285714285,0.42857142857142855,21.43,120,High
13,10,54.777072,-1.539318,0,6,4,1.7,17,40.0,0.5,0.3,0.3,1.7,0.006059999999997956,0.01772000000000018,0.0,0.6,21.41,121,High
1174,6,53.32951666666667,-1.3426150000000001,0,4,2,1.5,9,33.333333333333336,0.5,0.0,0.16666666666666666,0.6666666666666666,0.00465000000000515,0.006480000000000041,0.0,0.6666666666666666,21.34,122,High
2027,6,53.01826666666667,-1.3065183333333332,0,4,2,1.0,6,33.333333333333336,0.3333333333333333,0.16666666666666666,0.0,0.6666666666666666,0.0010900000000049204,0.016250000000000098,0.0,0.6666666666666666,21.34,123,High
2168,8,51.4262875,-0.47560125,0,5,3,1.625,13,31.25,0.375,0.25,0.5,1.25,0.0026500000000027057,0.022330000000000017,0.0,0.625,21.25,124,High
1147,5,53.479110000000006,-1.150308,1,0,4,1.2,6,62.0,0.4,0.4,1.0,2.6,0.0036400000000043065,0.005770000000000053,0.2,0.2,21.2,125,High
1634,5,50.955028,-1.21503,0,3,2,1.0,5,36.0,0.4,0.2,1.0,1.6,0.004330000000003054,0.00827,0.0,0.6,21.2,126,High
245,7,55.94381142857143,-3.257608571428572,1,2,4,1.5714285714285714,11,28.571428571428573,0.42857142857142855,0.14285714285714285,0.0,0.5714285714285714,0.0028800000000046566,0.014690000000000314,0.14285714285714285,0.42857142857142855,21.15,127,High
2306,6,52.36209333333333,-1.9494783333333334,0,3,3,1.0,6,61.666666666666664,0.5,0.3333333333333333,1.0,3.0,0.001269999999998106,0.003169999999999895,0.0,0.5,21.0,128,High
2183,7,51.173901428571426,-0.015358571428571428,0,4,3,1.5714285714285714,11,34.285714285714285,0.42857142857142855,0.42857142857142855,1.0,1.8571428571428572,0.0020300000000048612,0.011019999999999999,0.0,0.5714285714285714,20.86,129,High
2244,5,52.47645,-1.490892,0,3,2,1.6,8,38.0,0.4,0.4,0.2,1.4,0.006630000000001246,0.0044800000000000395,0.0,0.6,20.8,130,High
1471,5,50.879917999999996,0.224376,0,3,2,2.2,11,42.0,0.2,0.2,1.0,1.4,0.0014600000000015712,0.007049999999999973,0.0,0.6,20.8,131,High
1571,5,51.795466,-2.598364,0,3,2,2.2,11,30.0,0.4,0.6,0.0,1.4,0.003589999999995541,0.0006200000000000649,0.0,0.6,20.8,132,High
1502,5,51.883166,0.816498,0,3,2,1.6,8,36.0,0.0,0.6,0.2,1.4,0.002339999999996678,0.007800000000000029,0.0,0.6,20.8,133,High
1252,5,53.832266000000004,-1.4408819999999998,0,3,2,1.4,7,50.0,0.0,0.2,1.0,1.4,0.0011599999999987176,0.0012600000000000389,0.0,0.6,20.8,134,High
1114,8,53.48227,-2.180985,0,5,3,2.0,16,27.5,0.375,0.375,0.0,1.0,0.005990000000004159,0.017109999999999737,0.0,0.625,20.75,135,High
44,8,53.58723125,-2.39278875,0,5,3,1.0,8,25.0,0.25,0.375,0.0,1.0,0.006470000000000198,0.014450000000000074,0.0,0.625,20.75,136,High
830,6,54.30991666666667,-2.732946666666667,1,1,4,1.3333333333333333,8,31.666666666666668,0.16666666666666666,0.3333333333333333,0.3333333333333333,1.1666666666666667,0.0075999999999964984,0.010630000000000361,0.16666666666666666,0.3333333333333333,20.67,137,High
82,15,53.551504666666666,-2.402064666666667,1,7,7,1.2666666666666666,19,31.333333333333332,0.26666666666666666,0.26666666666666666,0.0,0.6666666666666666,0.017260000000000275,0.006880000000000219,0.06666666666666667,0.5333333333333333,20.67,138,High
1852,6,53.78561,-2.282436666666667,1,1,4,1.6666666666666667,10,36.666666666666664,0.16666666666666666,0.5,0.16666666666666666,1.1666666666666667,0.0028700000000014825,0.008010000000000073,0.16666666666666666,0.3333333333333333,20.67,139,High
1774,9,51.425327777777774,0.7981911111111111,1,3,5,1.3333333333333333,12,34.44444444444444,0.4444444444444444,0.3333333333333333,0.0,0.8888888888888888,0.011290000000002465,0.009889999999999954,0.1111111111111111,0.4444444444444444,20.67,140,High
